#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.26217383,31.2483262,2010 May 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,008",Community Management,"Functional, needs repair",444.0,300.0,False,,KIKUUBE
1.3586898,31.2573822,2022 Mar 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,007",,Functional,489.0,300.0,False,,KIKUUBE
1.34872696,31.3681299,2010 May 07 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"2,004",Community Management,"Functional, needs repair",1291.0,300.0,False,,KIKUUBE
1.28059106,31.20449566,2010 May 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,009",Community Management,"Functional, needs repair",625.0,300.0,False,,KIKUUBE
1.3591158,31.2628106,2022 Mar 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,001",,Functional,607.0,300.0,False,,KIKUUBE
1.1805924,30.9205314,2022 Mar 01 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,"2,017",Community Management,Functional,1156.0,250.0,False,,KIKUUBE
1.2269938,31.0269948,2022 Mar 02 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,006",,Functional,483.0,250.0,False,,KIKUUBE
1.2363005,31.2764245,2022 Feb 28 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,021",,Functional,884.0,300.0,False,,KIKUUBE
1.3080465,31.1639957,2022 Mar 11 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,008",Community Management,Functional,1137.0,300.0,False,,KIKUUBE
1.1756117,31.084985,2022 Mar 01 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,,Community Management,Functional,805.0,300.0,False,,KIKUUBE
1.2251845,30.9427576,2022 Mar 02 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,,Community Management,Functional,1268.0,250.0,False,,KIKUUBE
1.4301513,31.2495269,2022 Mar 01 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"2,011",Community Management,Non-Functional,808.0,250.0,False,,KIKUUBE
1.27843373,30.82608392,2010 May 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,004",Community Management,"Functional, needs repair",1552.0,300.0,False,,KIKUUBE
1.1929588,30.7788633,2022 Mar 10 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,017",Community Management,Functional,2158.0,300.0,False,,KIKUUBE
1.2631425,31.34590182,2010 May 07 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"1,998",Community Management,"Functional, needs repair",815.0,300.0,False,,KIKUUBE
1.1436717,30.7368952,2022 Mar 11 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,013",Community Management,Functional,1174.0,300.0,False,,KIKUUBE
1.13835331,30.76290948,2010 Oct 01 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,"2,010",Community Management,"Functional, needs repair",1549.0,300.0,False,,KIKUUBE
