#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.3970658,30.8588309,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kabwoya,"2,010",,Non-Functional,1211.0,300.0,False,,KIKUUBE
1.1393642,30.763348,2022 Mar 10 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,1869.0,300.0,False,,KIKUUBE
1.1608435,30.8036033,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",Community Management,Non-Functional,6089.0,300.0,False,,KIKUUBE
1.1690767,30.7941126,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,5956.0,300.0,False,,KIKUUBE
1.4881337,31.1613632,2022 Mar 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,,Community Management,Non-Functional,1023.0,300.0,False,,KIKUUBE
1.2334714,30.7450691,2022 Mar 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,009",Community Management,Non-Functional,822.0,300.0,False,,KIKUUBE
1.2353287,31.2712926,2022 Mar 01 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,012",,Non-Functional,899.0,300.0,False,,KIKUUBE
1.34251612,31.18015689,2010 May 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"1,996",Community Management,Non-Functional,695.0,300.0,False,,KIKUUBE
1.4469173,31.2259714,2022 Mar 02 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,,Community Management,Functional,716.0,300.0,False,,KIKUUBE
1.3177775,31.2863474,2022 Mar 07 12:00:00 AM,No,,Uganda,Kikuube,Buhimba,"2,010",Community Management,Non-Functional,914.0,250.0,False,,KIKUUBE
1.3835473,31.1186652,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,022",,Non-Functional,1307.0,300.0,False,,KIKUUBE
1.1936453,30.7589798,2022 Mar 10 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Functional,1280.0,300.0,False,,KIKUUBE
1.3337992,31.3121003,2022 Mar 14 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba Town Council,"2,018",,Functional,1342.0,300.0,False,,KIKUUBE
1.1751817,30.7897867,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",,Non-Functional,3844.0,300.0,False,,KIKUUBE
1.4440796,31.2706154,2022 Mar 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,,,Non-Functional,878.0,300.0,False,,KIKUUBE
1.4262512,31.185281,2022 Mar 04 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,,Community Management,Non-Functional,178.0,300.0,False,,KIKUUBE
1.3472827,31.3152798,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba Town Council,"2,018",,Non-Functional,2629.0,300.0,False,,KIKUUBE
1.1128258,30.7192716,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,010",,Non-Functional,446.0,300.0,False,,KIKUUBE
1.1866905,30.7802199,2022 Mar 10 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",Community Management,Non-Functional,3241.0,300.0,False,,KIKUUBE
1.36399579,31.25743804,2010 Oct 01 12:00:00 AM,No,,Uganda,Kikuube,Buhimba,"2,007",Community Management,Non-Functional,530.0,300.0,False,,KIKUUBE
1.33312073,31.20456616,2010 May 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"1,964",Community Management,Non-Functional,1995.0,300.0,False,,KIKUUBE
1.1643761,30.8009565,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,5965.0,300.0,False,,KIKUUBE
1.2372217,30.736499,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,009",Community Management,Non-Functional,2067.0,300.0,False,,KIKUUBE
1.22701128,30.81648835,2010 May 05 12:00:00 AM,No,,Uganda,Kikuube,Kyangwali,"2,003",Other Institutional Management,Non-Functional,1806.0,50.0,False,,KIKUUBE
1.26466,30.828705,2022 Feb 28 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,006",Community Management,Non-Functional,1111.0,300.0,False,,KIKUUBE
